"","peakIndex","peakPPM","peakValue","peakSNR","peakScale","Sample"
"1",16719,8.69696,12.7425067489969,3.24892532299416,11.5,6
"2",16719,8.6977,10.3098378351735,2.52959528372276,7.5,14
"3",16719,8.69647,10.9482436944026,3.03304438424701,7,15
"4",16719,8.7488,18.4262945068612,3.85877087405736,10,3
"5",16719,8.74929,19.6174789907078,5.87735852904087,9,5
"6",16719,8.7488,15.5707227091313,3.20318835824044,11,7
"7",16719,8.74905,17.3121341808684,4.62013021406972,7,11
"8",16719,8.74978,18.6263886258087,4.02181494030253,10,12
"9",16719,8.75027,17.7811471815668,4.46754202045671,13,13
"10",16719,8.69819,14.3324290684948,3.77486447108221,10,4
"11",16719,8.69892,11.2231056472621,2.38895684851185,11,9
"12",16719,8.69965,13.7478314549951,2.69256581275708,9,10
"13",16719,8.69941,11.8334465491154,3.15203685639883,14,16
"14",17179,8.6104,1336.5953591732,28.1354916414403,10,1
"15",17179,8.61015,1384.40460526637,44.782096829878,11,2
"16",17179,8.61064,1356.04608761097,46.2967020219857,11,3
"17",17179,8.61113,1389.4878044802,34.7749529923365,10,4
"18",17179,8.60991,1163.81963179296,28.6501824349153,10,5
"19",17179,8.61089,1217.17763541057,36.3520718909204,11,6
"20",17179,8.6104,1398.34619354478,29.536331616684,11,7
"21",17179,8.6104,1225.89168567201,32.2059601674254,11,8
"22",17179,8.61089,1246.75790669032,33.4107535610907,11,9
"23",17179,8.61064,1425.1119822619,34.875305277347,11,10
"24",17179,8.6104,1275.04877010533,33.6725839900264,11,11
"25",17179,8.61064,1447.59081872564,32.7383007348921,11,12
"26",17179,8.61211,1082.61189164746,27.1251705977159,6.5,13
"27",17179,8.61064,1187.01667752445,29.8016749187558,11,14
"28",17179,8.61064,1347.5577693611,30.7355700723211,10,15
"29",17179,8.61015,1211.39255864021,27.3717125807354,10,16
"30",17221,8.60013,1329.21240564121,27.9800795894957,10.5,1
"31",17221,8.59988,1371.97675697138,44.3800863889879,10.5,2
"32",17221,8.60037,1249.1648037024,42.6476734247645,10,3
"33",17221,8.60086,1421.95153916688,35.5874285275985,10.5,4
"34",17221,8.59964,1207.48469478641,29.7251015947399,10.5,5
"35",17221,8.60062,1150.8814751474,34.3720792309618,10,6
"36",17221,8.60013,1316.28535204729,27.8030153332036,10,7
"37",17221,8.60013,1157.6272651857,30.4125544100241,10,8
"38",17221,8.60062,1200.80318069681,32.1792538313538,10,9
"39",17221,8.60037,1363.3524923298,33.363928563121,10,10
"40",17221,8.60013,1211.82742903253,32.0029804680685,10,11
"41",17221,8.60037,1383.45262267483,31.287769601548,10,12
"42",17221,8.60037,1140.89862505022,28.6438182232717,10,14
"43",17221,8.60037,1297.24588692648,29.588039017847,10,15
"44",17221,8.59988,1153.26091592146,26.0582138267642,10,16
"45",17564,8.52041,11.3953122534997,2.06051504089026,8,1
"46",17564,8.51968,10.0353775152562,2.16291138632079,3.5,3
"47",17564,8.52163,16.9348785423865,4.17390960284197,11,4
"48",17564,8.52139,16.5842846425175,3.30819843478075,8.5,8
"49",17564,8.52041,10.5357387931737,1.86647294385957,8,10
"50",17564,8.50941,18.9905390397691,4.22994682921428,11.5,5
"51",17564,8.50965,10.7102998251808,2.02411648305575,6.5,6
"52",17564,8.51063,14.904263765192,2.72541995532153,5.5,12
"53",17746,8.47224,12.9252167647771,2.53517500786792,6,2
"54",17746,8.4715,17.6117167762993,3.79582957294879,7,3
"55",17746,8.47248,12.1112125675882,2.67658914003845,3.5,4
"56",17746,8.47126,14.6998054210864,2.87985627440221,9.5,5
"57",17746,8.47248,10.343840753207,1.79170818725689,4.5,7
"58",17808,8.45781,20.8103946430794,3.76296236689416,11,1
"59",17808,8.45683,18.9876997921743,4.09239333728108,6.5,3
"60",17808,8.45659,16.754516332419,3.70276355168292,6.5,4
"61",17808,8.45732,22.4308340646755,3.88535651307465,6.5,7
"62",17808,8.45585,13.4244771092563,2.8081468351609,3.5,9
"63",17808,8.45708,22.4200019106279,4.96009816854431,5,11
"64",17864,8.44314,332.070004220463,63.9319909896458,7,1
"65",17864,8.44289,274.874034146649,55.1324266569541,10.5,2
"66",17864,8.44314,245.446892273316,54.7024342534105,9,3
"67",17864,8.44289,329.424539591651,63.1078220659051,9,4
"68",17864,8.44289,330.772295132903,63.4718778250569,7,5
"69",17864,8.44314,283.261623088445,53.5330037131585,7,6
"70",17864,8.44314,292.148426556277,52.4608179071291,8,7
"71",17864,8.44314,258.165547579533,49.9676124481841,7,8
"72",17864,8.44314,283.825350870682,58.3134519734312,7,9
"73",17864,8.44314,336.935468150595,61.8936038363731,7,10
"74",17864,8.44314,239.972863496879,55.6335004912665,9,11
"75",17864,8.44314,269.498739328222,50.9895943507441,7,12
"76",17864,8.44314,167.502273612923,36.1290829172648,8,13
"77",17864,8.44314,242.207769891111,51.6360887527233,9,14
"78",17864,8.44314,176.669318740367,42.1594667716428,6,15
"79",17864,8.44314,195.97365342913,46.8051127685007,9,16
"80",17940,8.42993,12.5049168746629,2.42031071127886,4.5,8
"81",17940,8.42993,12.9505131585891,3.00234938930871,10,11
"82",17940,8.42969,16.1440462819201,3.44173684855803,4.5,14
"83",17940,8.42969,11.6555346431626,2.78141744700048,3.5,15
"84",17940,8.42993,19.0234941801234,4.54345150366646,4.5,16
"85",17940,8.41869,14.8613453507675,2.86119006529868,11,1
"86",17940,8.41991,11.5122371781632,2.30904884796767,3,2
"87",17940,8.41917,11.937009825612,2.25594976245323,16,6
"88",17940,8.41893,11.3997316891959,2.34213647346396,4,9
"89",17940,8.42015,16.3254296332628,3.52128235729583,4.5,13
"90",18133,8.38176,10.249010071782,2.29151259117242,15.5,5
"91",18133,8.38103,16.0834532943305,3.03287758327388,8,6
"92",18133,8.3825,12.4159730186605,2.57407914186922,7,7
"93",18133,8.3825,10.3055180415728,2.11732436702736,4,9
"94",18133,8.38176,14.6057443090775,2.99351932944572,9,10
"95",18133,8.38103,12.8813721387191,3.2177422211151,3.5,11
"96",18133,8.38054,11.2530616902588,2.13214110751072,6.5,1
"97",18133,8.37981,15.4783595464274,3.31004628218259,13,2
"98",18133,8.38078,15.4047420137189,3.88867733940698,16.5,3
"99",18133,8.37858,17.7000908738785,3.26641088883033,16,12
"100",18133,8.38005,13.7138860990295,3.92281616714043,4,15
"101",18133,8.36416,10.7085728754087,2.03767202671098,7.5,4
"102",18133,8.36293,12.6577290396966,2.52236568721048,5,8
"103",18133,8.36513,11.6615307939333,2.52462610864657,5,13
"104",18426,8.26414,10.9152662604752,2.67039457310463,2.5,1
"105",18426,8.26512,12.6422924928156,3.04046427242375,7,6
"106",18426,8.26536,12.8712061279876,2.94558237172711,4,13
"107",18426,8.26341,12.6889571721776,2.87786519874914,5.5,14
