Name 1,Name 2,Name 3,Name 4,Name 5,suggestion 1,suggestion 2,suggestion 3,suggestion 4,suggestion 5
L-Lactic acid,L-Lactate,2-hydroxypropanoic acid,Lactic Acid,L-(+)-lactic acid,Acetic acid <bmse000191>,(R)-Lactate <bmse000269>,2-Hydroxyisocaproic acid <bmse000338>,Acetic acid <bmse000191>,L-(+) Lactic acid <bmse000208>
D-Glucose,Glucose,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",alpha-D-Glucopyranose,alpha-D-Glucose,D-Glucosaminic acid <bmse000440>,Sucrose <bmse000119>,"2-(3,4-Dihydroxyphenyl)chroman-3,5,7-triol <bmse001147>",DL-alpha-Glycerol phosphate <bmse000193>,Alpha-Ketoglutaric acid <bmse000064>
Uric acid,"7,9-dihydro-3H-purine-2,6,8-trione","1H-Purine-2,6,8(3H)-trione, 7,9-dihydro-","1H-Purine-2,6,8-triol","2,6,8-Trioxypurine",Butyric acid <bmse000402>,Dihydrocoumarin <bmse000412>,Purine <bmse000454>,Purine <bmse000454>,"2,4,6-Trichlorophenol <bmse000678>"
3-hydroxybutyric acid,beta-Hydroxy-n-butyric acid,"Butanoic acid, 3-hydroxy-","Butyric acid, 3-hydroxy- (8CI)",3 HBA,3-Hydroxybenzoic acid <bmse000324>,(R)-2-hydroxybutyric acid <bmse000361>,Hexanoic acid <bmse000351>,Butyric acid <bmse000402>,Thiram <bmse000928>
B-Carotene,Beta-carotene,"(all-E)-1,1'-(3,7,12,16-Tetramethyl-1,3,5, 7,9,11,13,15,17-octadecanonaene-1,18-diyl)bis[2,6, 6-trimethylcyclohexene]",b-Carotene,"1,3,3-trimethyl-2-[(1~{E},3~{E},5~{E},7~{E},9~{E},11~{E},13~{E},15~{E},17~{E})-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene",L-Cysteine <bmse000034>,Beta-Alanine <bmse000159>,2-[2-[2-[2-(Bis(carboxymethyl)amino)ethoxy]ethoxy]ethyl-(carboxymethyl)amino]acetic acid <bmse001200>,L-Cysteine <bmse000034>,Trimethylamine <bmse000224>
L-Carnitine,(3~{R})-3-hydroxy-4-(trimethylazaniumyl)butanoatel,(R)-(3-Carboxy-2-hydroxypropyl)trimethylammonium hydroxide,gamma-Trimethyl-beta-hydroxybutyrobetaine,Vitamin BT,D-Carnitine <bmse000074>,(R)-2-hydroxybutyric acid <bmse000361>,3-Carboxypropyl-trimethyl-ammonium <bmse000794>,Agmatine <bmse000063>,Thiamin <bmse000274>
alpha-Tocopherol,"(2R,4'R,8'R)-Alpha-tocopherol","Tocopherol (R,S)",Prestwick_653,Tocopherol,4-Chlorophenol <bmse000461>,"2,4,6-Trichlorophenol <bmse000678>",Pyrocatechol <bmse000385>,MES <bmse000787>,O-Cresol <bmse000433>
Pipecolic acid,H-DL-Pip-OH,DL-homoproline,piperidine-2-carboxylic acid,Pipecolinic acid,Itaconic acid <bmse000137>,Pyridoxal-5-phosphate <bmse000111>,L-Proline <bmse000047>,2-Thiophenecarboxylic acid <bmse000848>,Nicotinic acid <bmse000104>
Lycopene,"(6~{E},8~{E},10~{E},12~{E},14~{E},16~{E},18~{E},20~{E},22~{E},24~{E},26~{E})-2,6,10,14,19,23,27,31-octamethyldotriaconta-2,6,8,10,12,14,16,18,20,22,24,26,30-tridecaene","InChI=1S/C40H56/c1-33(2)19-13-23-37(7)27-17-31-39(9)29-15-25-35(5)21-11-12-22-36(6)26-16-30-40(10)32-18-28-38(8)24-14-20-34(3)4/h11-12,15-22,25-32H,13-14,23-24H2,1-10H3/b12-11+,25-15+,26-16+,31-17+,32-18+,35-21+,36-22+,37-27+,38-28+,39-29+,40-30+","psi,psi-carotene",All trans Lycopene,Cyclohexane <bmse000545>,Adenine <bmse000060>,Xanthine <bmse000127>,"1,2-Dichloroethane <bmse000568>",Gallic acid <bmse000389>
Cholesterol,"(3~{S},8~{S},9~{S},10~{R},13~{R},14~{S},17~{R})-10,13-dimethyl-17-[(2~{R})-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1~{H}-cyclopenta[a]phenanthren-3-ol","InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",Epicholesterol,Cholesterin,Choline <bmse000285>,MES <bmse000787>,Xanthine <bmse000127>,Epichlorohydrin <bmse000722>,Esculetin <bmse000986>
Alpha-Carotene,"1,3,3-trimethyl-2-[(1~{E},3~{E},5~{E},7~{E},9~{E},11~{E},13~{E},15~{E},17~{E})-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohex-2-en-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene","InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-23,25-28,37H,15-16,24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21+,34-22+","alpha-carotene, (6'R)-isomer",Hi-Alpha,L-Cysteine <bmse000034>,Trimethylamine <bmse000224>,Xanthine <bmse000127>,L-Cysteine <bmse000034>,N-alpha-Acetyl-L-lysine <bmse000830>
Cortisol,"(8~{S},9~{S},10~{R},11~{S},13~{S},14~{S},17~{R})-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1~{H}-cyclopenta[a]phenanthren-3-one","InChI=1S/C21H30O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-16,18,22,24,26H,3-8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1",hydrocortisone,11-Epicortisol,O-Cresol <bmse000433>,MES <bmse000787>,Xanthine <bmse000127>,Dihydrocoumarin <bmse000412>,D-pinitol <bmse000740>
